userId,movieId,rating,timestamp,latest
1,1,4.0,2000-07-30 18:45:03,86.0
1,3,4.0,2000-07-30 18:20:47,196.0
1,6,4.0,2000-07-30 18:37:04,141.0
1,47,5.0,2000-07-30 19:03:35,18.0
1,50,5.0,2000-07-30 18:48:51,66.0
1,70,3.0,2000-07-30 18:40:00,116.0
1,101,5.0,2000-07-30 18:14:28,222.0
1,110,4.0,2000-07-30 18:36:16,144.0
1,151,5.0,2000-07-30 19:07:21,11.0
1,157,5.0,2000-07-30 19:08:20,6.0
1,163,5.0,2000-07-30 19:00:50,26.0
1,216,5.0,2000-07-30 18:20:08,199.0
1,223,3.0,2000-07-30 18:16:25,214.0
1,231,5.0,2000-07-30 18:19:39,202.0
1,235,4.0,2000-07-30 18:15:08,219.0
1,260,5.0,2000-07-30 18:28:00,182.0
1,296,3.0,2000-07-30 18:49:27,62.0
1,316,3.0,2000-07-30 18:38:30,127.0
1,333,5.0,2000-07-30 18:19:39,203.0
1,349,4.0,2000-07-30 18:42:43,104.0
1,356,4.0,2000-07-30 18:16:02,217.0
1,362,5.0,2000-07-30 18:43:08,100.0
1,367,4.0,2000-07-30 18:28:30,175.0
1,423,3.0,2000-07-30 18:39:23,121.0
1,441,4.0,2000-07-30 18:14:28,223.0
1,457,5.0,2000-07-30 18:31:49,148.0
1,480,4.0,2000-07-30 18:39:06,123.0
1,500,3.0,2000-07-30 18:20:08,200.0
1,527,5.0,2000-07-30 19:06:42,14.0
1,543,4.0,2000-07-30 18:19:39,204.0
1,552,4.0,2000-07-30 18:44:13,91.0
1,553,5.0,2000-07-30 19:09:13,4.0
1,590,4.0,2000-07-30 18:42:26,107.0
1,592,4.0,2000-07-30 18:37:51,134.0
1,593,4.0,2000-07-30 19:03:13,19.0
1,596,5.0,2000-07-30 18:47:18,74.0
1,608,5.0,2000-07-30 18:48:51,67.0
1,648,3.0,2000-07-30 18:42:43,105.0
1,661,5.0,2000-07-30 18:47:18,75.0
1,673,3.0,2000-07-30 18:29:35,167.0
1,733,4.0,2000-07-30 18:40:00,117.0
1,736,3.0,2000-07-30 18:44:13,92.0
1,780,3.0,2000-07-30 19:08:06,7.0
1,804,4.0,2000-07-30 18:08:19,231.0
1,919,5.0,2000-07-30 18:41:15,113.0
1,923,5.0,2000-07-30 18:25:29,188.0
1,940,5.0,2000-07-30 18:36:16,145.0
1,943,4.0,2000-07-30 19:00:14,28.0
1,954,5.0,2000-07-30 18:53:39,50.0
1,1009,3.0,2000-07-30 18:29:35,168.0
1,1023,5.0,2000-07-30 18:44:41,90.0
