userId,movieId,rating
117,515,1.0
88,4963,1.0
111,69436,1.0
205,81834,1.0
160,2701,1.0
129,1196,1.0
68,5312,1.0
409,3468,1.0
232,5572,1.0
382,6365,1.0
596,138036,1.0
110,8014,1.0
483,57274,1.0
100,368,1.0
201,2115,1.0
68,2606,1.0
380,140247,1.0
331,96079,1.0
64,2080,1.0
28,7263,1.0
517,4022,1.0
182,1396,1.0
414,55363,1.0
480,3565,1.0
522,44195,1.0
380,165,1.0
80,96079,1.0
332,1265,1.0
599,89804,1.0
607,3147,1.0
307,586,1.0
44,1429,1.0
447,377,1.0
177,608,1.0
294,3506,1.0
57,951,1.0
221,2352,1.0
483,3310,1.0
233,5418,1.0
391,154,1.0
171,1079,1.0
287,1206,1.0
199,1358,1.0
414,208,1.0
135,1918,1.0
603,3727,1.0
263,1393,1.0
308,117192,1.0
10,69844,1.0
380,82744,1.0
414,53123,1.0
50,26258,1.0
448,507,1.0
57,2470,1.0
217,3431,1.0
385,1282,1.0
167,1021,1.0
414,1013,1.0
292,2005,1.0
290,296,1.0
537,86911,1.0
89,4015,1.0
68,74789,1.0
199,20,1.0
249,77561,1.0
469,1587,1.0
232,44195,1.0
28,6974,1.0
232,31433,1.0
135,4022,1.0
452,1198,1.0
411,22,1.0
606,19,1.0
414,3285,1.0
305,2232,1.0
567,78499,1.0
51,1009,1.0
18,628,1.0
540,5693,1.0
169,5349,1.0
599,1020,1.0
261,5810,1.0
294,1968,1.0
599,3387,1.0
590,2371,1.0
232,67087,1.0
485,165,1.0
202,246,1.0
204,59604,1.0
555,2474,1.0
132,910,1.0
600,40815,1.0
425,2470,1.0
599,93208,1.0
599,2411,1.0
437,32,1.0
405,1625,1.0
606,830,1.0
131,969,1.0
567,120799,1.0
485,185,1.0
587,830,1.0
89,11,1.0
62,72998,1.0
42,490,1.0
489,39183,1.0
18,1136,1.0
195,1370,1.0
23,5013,1.0
217,1374,1.0
288,2922,1.0
116,1225,1.0
184,127212,1.0
104,1265,1.0
288,7438,1.0
70,1246,1.0
586,1580,1.0
298,76077,1.0
474,5581,1.0
555,3258,1.0
7,8528,1.0
190,6708,1.0
219,1196,1.0
414,1272,1.0
462,78574,1.0
68,6287,1.0
438,7454,1.0
277,1167,1.0
282,1961,1.0
599,2398,1.0
66,2019,1.0
354,34319,1.0
39,1584,1.0
346,1172,1.0
527,3044,1.0
599,3950,1.0
122,8917,1.0
27,1,1.0
16,2109,1.0
27,913,1.0
161,1148,1.0
265,1363,1.0
226,2134,1.0
608,1288,1.0
381,2706,1.0
599,73569,1.0
332,4887,1.0
596,3301,1.0
169,6550,1.0
160,3005,1.0
483,165,1.0
274,6464,1.0
312,1376,1.0
4,595,1.0
339,4993,1.0
414,5292,1.0
323,112852,1.0
318,26928,1.0
274,4718,1.0
573,69526,1.0
263,32587,1.0
351,84392,1.0
448,86142,1.0
608,2003,1.0
606,39292,1.0
608,1644,1.0
172,7438,1.0
599,26590,1.0
156,2973,1.0
73,4025,1.0
177,1936,1.0
560,90376,1.0
432,6870,1.0
377,6654,1.0
286,6539,1.0
42,1127,1.0
610,8371,1.0
122,122882,1.0
448,1408,1.0
151,609,1.0
256,69524,1.0
573,59369,1.0
606,1416,1.0
603,2629,1.0
269,784,1.0
129,1968,1.0
187,8464,1.0
391,3271,1.0
436,362,1.0
226,4161,1.0
599,1127,1.0
477,1240,1.0
448,111663,1.0
288,2384,1.0
446,339,1.0
84,1082,1.0
75,36519,1.0
339,4022,1.0
564,74946,1.0
510,3527,1.0
27,2886,1.0
511,119145,1.0
414,222,1.0
483,6807,1.0
480,1544,1.0
414,45720,1.0
177,93008,1.0
488,912,1.0
132,318,1.0
489,918,1.0
610,61024,1.0
77,7153,1.0
481,1653,1.0
318,4825,1.0
293,608,1.0
109,743,1.0
408,2571,1.0
160,2313,1.0
325,3044,1.0
68,1377,1.0
376,780,1.0
419,5418,1.0
14,377,1.0
356,6365,1.0
103,4262,1.0
216,3946,1.0
144,1079,1.0
177,5679,1.0
411,356,1.0
474,2641,1.0
91,3948,1.0
434,1210,1.0
352,2683,1.0
537,90439,1.0
109,1032,1.0
288,42011,1.0
474,4034,1.0
414,51575,1.0
605,3489,1.0
20,1073,1.0
232,45666,1.0
562,318,1.0
67,99114,1.0
200,1608,1.0
470,367,1.0
64,2699,1.0
414,6266,1.0
448,4124,1.0
438,31878,1.0
307,1562,1.0
57,2000,1.0
414,5680,1.0
57,2289,1.0
226,3275,1.0
140,33166,1.0
599,49278,1.0
610,86142,1.0
553,2858,1.0
525,72226,1.0
349,10,1.0
8,253,1.0
534,61160,1.0
45,112,1.0
438,40815,1.0
57,2571,1.0
447,370,1.0
561,2115,1.0
599,60069,1.0
379,527,1.0
58,353,1.0
119,48516,1.0
380,3639,1.0
422,1,1.0
361,745,1.0
599,123310,1.0
19,2012,1.0
247,5445,1.0
318,86279,1.0
448,1208,1.0
372,1411,1.0
288,3476,1.0
500,708,1.0
207,637,1.0
596,80549,1.0
1,733,1.0
525,66934,1.0
279,85414,1.0
601,72998,1.0
408,63131,1.0
249,106918,1.0
91,1771,1.0
298,5128,1.0
274,37384,1.0
438,798,1.0
177,3909,1.0
274,6863,1.0
561,105468,1.0
117,861,1.0
275,2858,1.0
328,527,1.0
4,902,1.0
534,6874,1.0
232,65682,1.0
288,5459,1.0
68,4148,1.0
561,3033,1.0
7,150,1.0
131,27611,1.0
305,58998,1.0
563,32289,1.0
490,86347,1.0
6,494,1.0
266,2094,1.0
410,3362,1.0
112,68157,1.0
409,39,1.0
380,2797,1.0
487,109374,1.0
286,4973,1.0
474,2640,1.0
483,153,1.0
534,94018,1.0
182,1222,1.0
42,2376,1.0
215,72407,1.0
599,2605,1.0
414,3712,1.0
480,2539,1.0
555,187,1.0
519,34162,1.0
342,1799,1.0
290,2372,1.0
82,7142,1.0
280,88810,1.0
121,508,1.0
156,3108,1.0
199,1047,1.0
97,3793,1.0
610,5283,1.0
387,586,1.0
312,1909,1.0
412,1269,1.0
606,2387,1.0
517,357,1.0
474,5603,1.0
414,904,1.0
25,122916,1.0
474,2529,1.0
168,3730,1.0
603,1946,1.0
606,4506,1.0
339,45672,1.0
294,1965,1.0
41,2268,1.0
219,5400,1.0
136,198,1.0
425,8644,1.0
182,2571,1.0
432,6539,1.0
387,2360,1.0
603,2064,1.0
66,590,1.0
599,5221,1.0
18,7018,1.0
42,784,1.0
380,81229,1.0
95,260,1.0
68,2353,1.0
534,4446,1.0
422,3825,1.0
517,55052,1.0
105,3301,1.0
590,81834,1.0
368,2532,1.0
480,3481,1.0
74,3424,1.0
212,260,1.0
274,5816,1.0
111,184015,1.0
381,1291,1.0
217,1573,1.0
312,2640,1.0
330,1777,1.0
19,1148,1.0
249,4299,1.0
347,160,1.0
143,97921,1.0
391,4308,1.0
524,924,1.0
222,4343,1.0
254,40819,1.0
469,2736,1.0
91,1917,1.0
45,4033,1.0
560,34405,1.0
208,2762,1.0
103,27706,1.0
586,103141,1.0
137,1197,1.0
542,5502,1.0
119,111781,1.0
596,1136,1.0
160,6319,1.0
610,32011,1.0
610,161634,1.0
219,223,1.0
6,637,1.0
59,3448,1.0
432,5608,1.0
368,540,1.0
393,541,1.0
167,2174,1.0
590,41569,1.0
462,1580,1.0
292,73321,1.0
597,2144,1.0
262,380,1.0
590,329,1.0
606,5139,1.0
63,318,1.0
104,8796,1.0
567,76175,1.0
313,3396,1.0
140,1101,1.0
414,5991,1.0
368,1732,1.0
363,2571,1.0
520,4886,1.0
170,185,1.0
594,858,1.0
447,586,1.0
298,134783,1.0
200,4306,1.0
554,1380,1.0
91,5693,1.0
34,1682,1.0
238,1953,1.0
219,5219,1.0
152,85774,1.0
328,1387,1.0
428,3751,1.0
312,866,1.0
249,47997,1.0
19,2140,1.0
288,923,1.0
474,3475,1.0
307,562,1.0
111,31685,1.0
372,541,1.0
346,1354,1.0
599,7845,1.0
474,7075,1.0
21,6155,1.0
223,34,1.0
62,106072,1.0
304,786,1.0
380,4085,1.0
343,46970,1.0
307,2791,1.0
286,1396,1.0
469,1876,1.0
411,271,1.0
514,4215,1.0
509,48394,1.0
282,912,1.0
474,5445,1.0
298,106782,1.0
72,150,1.0
290,36,1.0
599,2942,1.0
64,968,1.0
263,1094,1.0
534,53138,1.0
420,31410,1.0
606,3545,1.0
571,2367,1.0
474,6535,1.0
270,1356,1.0
160,1387,1.0
62,106489,1.0
135,1883,1.0
290,431,1.0
125,152081,1.0
317,44199,1.0
64,4370,1.0
239,23,1.0
288,2423,1.0
111,44022,1.0
28,43921,1.0
603,1747,1.0
105,1617,1.0
128,908,1.0
525,318,1.0
462,296,1.0
34,6387,1.0
606,4977,1.0
367,513,1.0
331,8665,1.0
602,509,1.0
255,3504,1.0
357,33154,1.0
318,110730,1.0
68,51540,1.0
263,2599,1.0
380,64231,1.0
